Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2019,"Carlos Carrasco","CLE",21,94,0.615384615,0.236363636,0.29090909,0.472727272,0.038461538,0.115384615,0.0625,0,0.4,0.2909,0.3091,0.1273,0.4364,0.4364,6632
2019,"Julio Teheran","ATL",25.2,117,0.964285714,0.246575342,0.369863013,0.383561643,0.142857142,0.178571428,0.074074074,0,0.4865,0.3514,0.1622,0.1486,0.4324,0.4189,6797
2019,"J.A. Happ","NYY",25.2,110,0.94117647,0.175,0.4,0.425,0.088235294,0.205882352,0.125,0,0.3875,0.4,0.2125,0.2125,0.45,0.3375,7410
2019,"Collin McHugh","HOU",26.1,107,1,0.275362318,0.36231884,0.36231884,0.04,0.12,0,0,0.4058,0.3043,0.2899,0.1739,0.5217,0.3043,7531
2019,"Jordan Lyles","PIT",22,84,0.758620689,0.105263157,0.385964912,0.508771929,0.034482758,0.103448275,0.136363636,0,0.3103,0.3966,0.2931,0.2069,0.4655,0.3276,7593
2019,"Mike Fiers","OAK",25,118,1.029411764,0.178571428,0.416666666,0.404761904,0.058823529,0.176470588,0.057142857,0.5,0.5,0.186,0.314,0.1395,0.4302,0.4302,7754
2019,"Tyson Ross","DET",29,124,2,0.233333333,0.511111111,0.255555555,0.04347826,0.173913043,0.086956521,0,0.4556,0.2667,0.2778,0.2111,0.4,0.3889,7872
2019,"Brett Anderson","OAK",26.2,114,1.791666666,0.192771084,0.518072289,0.289156626,0.083333333,0.041666666,0.069767441,0.333333333,0.4186,0.3837,0.1977,0.1628,0.5814,0.2558,8223
2019,"Homer Bailey","KCR",24,101,1.09090909,0.258064516,0.387096774,0.354838709,0.136363636,0.136363636,0,0,0.4762,0.3016,0.2222,0.1587,0.3968,0.4444,8362
2019,"Justin Verlander","HOU",38,151,0.864864864,0.258064516,0.344086021,0.397849462,0.081081081,0.162162162,0,0,0.4839,0.3978,0.1183,0.1183,0.4409,0.4409,8700
2019,"Tanner Roark","CIN",25,112,0.958333333,0.364864864,0.31081081,0.324324324,0.041666666,0.083333333,0,0,0.36,0.3467,0.2933,0.08,0.4933,0.4267,8753
2019,"Wade Miley","HOU",27.2,113,1.433333333,0.17977528,0.483146067,0.337078651,0.033333333,0.1,0.023255813,0,0.427,0.3596,0.2135,0.1685,0.4494,0.382,8779
2019,"Andrew Cashner","BAL",32.1,136,1.571428571,0.126213592,0.533980582,0.339805825,0.028571428,0.142857142,0.109090909,0,0.3689,0.3495,0.2816,0.1165,0.4369,0.4466,8782
2019,"Nathan Eovaldi","BOS",21,93,1.291666666,0.153846153,0.476923076,0.369230769,0.041666666,0.25,0.064516129,0,0.4154,0.3538,0.2308,0.1231,0.4308,0.4462,9132
2019,"Patrick Corbin","WSN",32.2,127,0.944444444,0.135802469,0.419753086,0.444444444,0.027777777,0.138888888,0.058823529,0,0.284,0.4691,0.2469,0.1728,0.4691,0.358,9323
2019,"Miles Mikolas","STL",29,123,1.342857142,0.163265306,0.479591836,0.357142857,0.057142857,0.142857142,0.042553191,0,0.3367,0.398,0.2653,0.1633,0.4898,0.3469,9803
2019,"Mike Minor","TEX",33.2,130,0.926829268,0.141304347,0.413043478,0.445652173,0.097560975,0.097560975,0.105263157,0,0.4783,0.2717,0.25,0.163,0.4891,0.3478,10021
2019,"Kyle Gibson","MIN",20.2,92,1.842105263,0.169230769,0.538461538,0.292307692,0.052631578,0.157894736,0.057142857,0,0.4848,0.303,0.2121,0.1212,0.4394,0.4394,10123
2019,"Mike Leake","SEA",29.1,128,0.9,0.191489361,0.382978723,0.425531914,0.075,0.2,0.083333333,0,0.3789,0.3789,0.2421,0.1368,0.4526,0.4105,10130
2019,"Stephen Strasburg","WSN",30.2,125,1.826086956,0.144736842,0.552631578,0.302631578,0,0.217391304,0.071428571,0,0.2857,0.4286,0.2857,0.1948,0.5844,0.2208,10131
2019,"Zack Wheeler","NYM",29.2,127,1.708333333,0.1875,0.5125,0.3,0.083333333,0.125,0.024390243,0,0.4,0.2875,0.3125,0.1125,0.625,0.2625,10310
2019,"Chris Sale","BOS",23,106,1.148148148,0.194444444,0.430555555,0.375,0.037037037,0.222222222,0.064516129,0,0.3973,0.411,0.1918,0.1233,0.5479,0.3288,10603
2019,"Jacob deGrom","NYM",22,92,0.5,0.282608695,0.239130434,0.478260869,0.09090909,0.227272727,0,0.666666666,0.3878,0.4286,0.1837,0.1633,0.3061,0.5306,10954
2019,"Merrill Kelly","ARI",29.2,128,1.392857142,0.238636363,0.443181818,0.318181818,0.071428571,0.178571428,0.051282051,0,0.4719,0.3146,0.2135,0.1685,0.5618,0.2697,11156
2019,"Vince Velasquez","PHI",21.2,87,0.875,0.210526315,0.368421052,0.421052631,0.083333333,0.125,0,0.5,0.4237,0.339,0.2373,0.1695,0.4576,0.3729,11189
2019,"Jose Quintana","CHC",24,99,1.823529411,0.225806451,0.5,0.274193548,0,0.176470588,0.032258064,0,0.375,0.4219,0.2031,0.1406,0.4531,0.4063,11423
2019,"Drew Pomeranz","SFG",24.2,105,1.5,0.21875,0.46875,0.3125,0.1,0.2,0.133333333,0,0.3939,0.3485,0.2576,0.197,0.4545,0.3485,11426
2019,"Robbie Ray","ARI",27.1,115,0.814814814,0.222222222,0.349206349,0.428571428,0.074074074,0.074074074,0.09090909,0,0.4776,0.2687,0.2537,0.1642,0.3881,0.4478,11486
2019,"Aaron Sanchez","TOR",26,110,1.7,0.205882352,0.5,0.294117647,0,0.1,0.029411764,0,0.2794,0.5294,0.1912,0.1324,0.5441,0.3235,11490
2019,"Jose Urena","MIA",26.2,123,1.653846153,0.265957446,0.457446808,0.276595744,0.153846153,0.115384615,0.046511627,1,0.5158,0.3263,0.1579,0.1474,0.3158,0.5368,11589
2019,"Jameson Taillon","PIT",26,109,1.95,0.2625,0.4875,0.25,0.05,0.1,0.102564102,0.5,0.3902,0.3537,0.2561,0.1951,0.4512,0.3537,11674
2019,"Matt Harvey","LAA",24.2,112,1.5,0.277108433,0.433734939,0.289156626,0.083333333,0.208333333,0.027777777,0,0.4286,0.3571,0.2143,0.1071,0.4405,0.4524,11713
2019,"Noah Syndergaard","NYM",29,123,1.481481481,0.151898734,0.506329113,0.341772151,0.111111111,0.111111111,0.1,0,0.4444,0.3086,0.2469,0.2593,0.4198,0.321,11762
2019,"James Paxton","NYY",29,117,0.821428571,0.215384615,0.353846153,0.43076923,0.142857142,0.107142857,0.086956521,0,0.3231,0.2615,0.4154,0.1846,0.4923,0.3231,11828
2019,"Kyle Hendricks","CHC",20.1,93,1.19047619,0.245901639,0.409836065,0.344262295,0.19047619,0.142857142,0.08,0.666666666,0.4531,0.3594,0.1875,0.125,0.5,0.375,12049
2019,"Aaron Brooks","OAK",27,111,0.805555555,0.1875,0.3625,0.45,0.055555555,0.166666666,0.034482758,1,0.4074,0.3827,0.2099,0.1728,0.4815,0.3457,12272
2019,"Trevor Bauer","CLE",32.2,129,0.923076923,0.305555555,0.333333333,0.361111111,0.076923076,0.076923076,0,0,0.3472,0.3472,0.3056,0.1389,0.5139,0.3472,12703
2019,"Sonny Gray","CIN",24.2,99,2.0625,0.196721311,0.540983606,0.262295081,0.125,0.0625,0.09090909,0,0.4262,0.377,0.1967,0.1967,0.377,0.4262,12768
2019,"Dylan Bundy","BAL",23.1,106,0.542857142,0.205882352,0.279411764,0.514705882,0.085714285,0.2,0,0,0.3824,0.3824,0.2353,0.1618,0.5441,0.2941,12917
2019,"Joe Musgrove","PIT",26.1,101,1.115384615,0.20289855,0.420289855,0.376811594,0,0.038461538,0,0,0.4783,0.3043,0.2174,0.1739,0.5217,0.3043,12970
2019,"Yu Darvish","CHC",22.2,105,1.421052631,0.206896551,0.465517241,0.327586206,0.052631578,0.315789473,0.074074074,0,0.45,0.2833,0.2667,0.15,0.5167,0.3333,13074
2019,"Gerrit Cole","HOU",29.1,123,1.04,0.260869565,0.376811594,0.36231884,0.04,0.16,0,0,0.3714,0.3429,0.2857,0.1714,0.4286,0.4,13125
2019,"Eduardo Rodriguez","BOS",26,117,1.178571428,0.217948717,0.423076923,0.358974358,0.035714285,0.142857142,0.212121212,0,0.3974,0.3333,0.2692,0.2308,0.4487,0.3205,13164
2019,"Zach Davies","MIL",27.1,113,1.346153846,0.24691358,0.432098765,0.320987654,0.076923076,0.076923076,0.085714285,0,0.4699,0.2892,0.241,0.1687,0.506,0.3253,13183
