Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2018,"Max Scherzer","WSN",220.2,866,12.2356,2.0801,5.8824,0.9381,0.3464,0.0589,0.2875,0.188205771,0.9109,0.2646,0.8131,2.6534996247551272,3.064894561386371,3137
2018,"David Price","BOS",176,722,9.0511,2.5568,3.54,1.2784,0.2452,0.0693,0.1759,0.229832572,1.142,0.2739,0.7727,4.019006962755127,3.9460254492576827,3184
2018,"Francisco Liriano","DET",131.2,578,7.4506,4.9215,1.5139,1.2987,0.1886,0.1246,0.064,0.252016129,1.4962,0.2842,0.6727,5.135735461755127,4.71488000955912,3201
2018,"Anibal Sanchez","ATL",133.2,540,8.9551,2.6259,3.4103,1.01,0.2463,0.0722,0.1741,0.215605749,1.0773,0.2579,0.7874,3.594967520755127,3.7671360044051996,3284
2018,"Danny Duffy","KCR",155,692,8.1871,4.0645,2.0143,1.3355,0.2038,0.1012,0.1026,0.263934426,1.4903,0.304,0.7347,4.702987900755128,4.915727480476902,3542
2018,"Clay Buchholz","ARI",98.1,393,7.4136,2.0136,3.6818,0.8237,0.2061,0.056,0.1501,0.220385674,1.0373,0.2554,0.8658,3.466137266755127,4.006303773157972,3543
2018,"Clayton Richard","SDP",158.2,682,6.126,3.4034,1.8,1.0777,0.1584,0.088,0.0704,0.263245033,1.3803,0.2887,0.6472,4.679959660755127,4.237036323002477,3551
2018,"Derek Holland","SFG",161.2,687,8.5175,3.5629,2.3906,1.0021,0.2227,0.0932,0.1295,0.243377483,1.3052,0.2873,0.7521,3.958990396755127,4.2074528594522596,4141
2018,"Jake Arrieta","PHI",172.2,724,7.193,2.971,2.4211,1.0946,0.1906,0.0787,0.1119,0.254237288,1.2857,0.2874,0.6814,4.255646800755127,4.080670499431912,4153
2018,"Tyler Chatwood","CHC",96,449,7.6875,8.25,0.9318,0.8438,0.1826,0.196,-0.0134,0.242074927,1.7917,0.2841,0.7376,5.608969083755127,5.646134731949618,4338
2018,"Jeremy Hellickson","WSN",91.1,370,6.4051,1.9708,3.25,1.0839,0.1757,0.0541,0.1216,0.230088495,1.073,0.2519,0.7174,4.223096600755127,4.266823738101284,4371
2018,"Jordan Zimmermann","DET",131.1,556,7.6066,1.7817,4.2692,1.9188,0.1996,0.0468,0.1529,0.268714011,1.264,0.2879,0.7143,4.881865036755127,4.348774704982686,4505
2018,"Jason Hammel","KCR",102.1,470,5.8046,2.7264,2.129,1.2313,0.1404,0.066,0.0745,0.312354312,1.6124,0.3371,0.6199,4.646394920755127,5.24040898520151,4538
2018,"Charlie Morton","HOU",167,695,10.8323,3.4491,3.1406,0.9701,0.2892,0.0921,0.1971,0.213464696,1.1617,0.2828,0.7955,3.5921901417551267,3.4173414726457194,4676
2018,"Felix Hernandez","SEA",150,663,7.38,3.42,2.1579,1.56,0.1855,0.086,0.0995,0.262798634,1.4067,0.2876,0.6324,5.154385750755127,4.629742887119452,4772
2018,"Rich Hill","LAD",131.2,542,10.1165,2.6658,3.7949,1.3671,0.2731,0.072,0.2011,0.220408163,1.1165,0.2691,0.7717,3.958520569755127,3.6772652357724054,4806
2018,"Mike Montgomery","CHC",97.2,420,6.4505,2.5802,2.5,0.7372,0.1667,0.0667,0.1,0.27368421,1.3515,0.3117,0.7492,3.836820104755127,4.209386019075705,4869
2018,"Jon Lester","CHC",181.2,761,7.3817,3.1706,2.3281,1.189,0.1958,0.0841,0.1117,0.255506607,1.3101,0.2896,0.8032,4.3940797137551275,4.431300151307424,4930
2018,"Cole Hamels","2 Tms",190.2,806,8.8741,3.0682,2.8923,1.3689,0.2333,0.0806,0.1526,0.246153846,1.264,0.2911,0.7612,4.487975957755126,3.9486476561855484,4972
2018,"Wade LeBlanc","SEA",148.1,602,7.1596,2.2449,3.1892,1.3348,0.196,0.0615,0.1346,0.241071428,1.1596,0.2671,0.7472,4.286895366755127,4.440953986372641,5221
2018,"Madison Bumgarner","SFG",129.2,551,7.5656,2.9846,2.5349,0.9717,0.1978,0.078,0.1198,0.238383838,1.2416,0.2737,0.7855,3.993957087755127,4.322643276041444,5524
2018,"Junior Guerra","MIL",135,591,8.5333,3.6667,2.3273,1.2667,0.2166,0.0931,0.1235,0.268199233,1.4444,0.3143,0.7251,4.405496861755127,4.349824189808634,5702
2018,"Trevor Cahill","OAK",106,435,8.3208,3.3962,2.45,0.6792,0.2253,0.092,0.1333,0.231770833,1.217,0.2842,0.6732,3.538410907755128,3.741455695651613,6249
2018,"Chris Archer","2 Tms",148.1,638,9.8292,2.973,3.3061,1.1528,0.2539,0.0768,0.1771,0.267702936,1.3753,0.3383,0.7252,3.754310977755127,3.5922977163228498,6345
2018,"Jake Odorizzi","MIN",164.1,711,8.8722,3.8337,2.3143,1.0953,0.2278,0.0985,0.1294,0.2416,1.3448,0.2905,0.6965,4.195535385755128,4.874724552841114,6397
2018,"Alex Cobb","BAL",152.1,661,6.0263,2.5405,2.3721,1.4179,0.1543,0.0651,0.0893,0.283828382,1.4114,0.3033,0.6796,4.795626078755127,4.471381811268471,6562
2018,"Carlos Carrasco","CLE",186.2,759,10.6554,1.8804,5.6667,1.0125,0.2912,0.0514,0.2398,0.23937677,1.1143,0.3136,0.753,2.9789095937551275,2.923231749156424,6632
2018,"Julio Teheran","ATL",175.2,724,8.2998,4.3036,1.9286,1.3321,0.2238,0.116,0.1077,0.195826645,1.1727,0.2167,0.7559,4.828983789755127,4.719467950903555,6797
2018,"Chase Anderson","MIL",158,644,7.2911,3.2468,2.2456,1.7089,0.1988,0.0885,0.1102,0.227826086,1.1899,0.2393,0.8105,5.224343556755127,4.794374848977674,6895
2018,"Ian Kennedy","KCR",119.2,518,7.8969,3.0084,2.625,1.5042,0.2027,0.0772,0.1255,0.265392781,1.3788,0.2983,0.7246,4.606734465755127,4.642320102909018,6986
2018,"James Shields","CHW",204,865,6.7941,3.3529,2.0263,1.5,0.178,0.0879,0.0902,0.243839169,1.2941,0.2601,0.7054,5.067915162755127,5.046728893252565,7059
2018,"J.A. Happ","2 Tms",177.2,733,9.7767,2.5835,3.7843,1.3677,0.2633,0.0696,0.1937,0.224550898,1.1313,0.2715,0.7491,3.9771873487551272,3.879398904857066,7410
2018,"Gio Gonzalez","2 Tms",171,746,7.7895,4.2105,1.85,0.8947,0.1984,0.1072,0.0912,0.256134969,1.4444,0.3006,0.7327,4.161052417755127,4.4430013124531476,7448
2018,"Mike Fiers","2 Tms",168.2,696,7.2569,1.9743,3.6757,1.6008,0.1954,0.0532,0.1422,0.244992295,1.1621,0.2654,0.8571,4.643265562755127,4.485293193119393,7754
2018,"Tyson Ross","2 Tms",129.1,553,7.7242,3.7577,2.0556,1.1134,0.2007,0.0976,0.1031,0.238193018,1.3144,0.274,0.718,4.467753784755127,4.200379376105931,7872
