"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Julio Teheran","Braves",".217","0.91","20.2 %","38.0 %","41.9 %","10.4 %","13.5 %","77","3.94","1089","1713","2802","40.5 %","36.0 %","23.5 %","19.0 %","44.6 %","36.5 %","6797"
"Brent Suter","Brewers",".284","0.87","28.4 %","33.3 %","38.2 %","13.8 %","14.7 %","64","6.08","521","1006","1527","38.9 %","30.5 %","30.5 %","20.1 %","47.7 %","32.2 %","13942"
"Wei-Yin Chen","Marlins",".284","0.86","19.9 %","37.0 %","43.2 %","12.1 %","10.9 %","63","4.25","795","1429","2224","39.8 %","33.0 %","27.2 %","17.0 %","50.7 %","32.3 %","13071"
"Gerrit Cole","Astros",".286","0.84","21.3 %","36.0 %","42.7 %","12.1 %","10.0 %","135","6.06","1064","2193","3257","33.9 %","39.4 %","26.8 %","18.6 %","50.4 %","31.0 %","13125"
"Danny Duffy","Royals",".304","0.83","22.0 %","35.4 %","42.6 %","9.0 %","11.4 %","96","5.57","1057","1728","2785","42.1 %","31.0 %","26.8 %","16.4 %","45.7 %","38.0 %","3542"
"Chase Anderson","Brewers",".239","0.78","21.3 %","34.5 %","44.2 %","14.4 %","15.4 %","77","4.39","946","1656","2602","40.0 %","31.9 %","28.1 %","20.8 %","42.9 %","36.3 %","6895"
"Mike Minor","Rangers",".259","0.77","20.7 %","34.4 %","44.9 %","13.1 %","12.1 %","91","5.22","900","1652","2552","37.0 %","41.8 %","21.2 %","19.9 %","42.2 %","37.9 %","10021"
"David Hess","Orioles",".270","0.76","19.0 %","35.0 %","46.0 %","11.3 %","14.0 %","40","3.59","633","1059","1692","40.2 %","33.8 %","25.9 %","18.6 %","49.1 %","32.3 %","16130"
"Dan Straily","Orioles",".256","0.76","25.5 %","32.1 %","42.4 %","11.5 %","13.5 %","58","4.27","788","1348","2136","43.1 %","36.1 %","20.8 %","13.9 %","39.2 %","46.9 %","9460"
"Dylan Bundy","Orioles",".316","0.74","20.0 %","34.0 %","46.0 %","8.7 %","17.8 %","93","4.88","948","1896","2844","40.7 %","31.4 %","27.9 %","15.2 %","50.2 %","34.6 %","12917"
"Max Scherzer","Nationals",".265","0.72","18.1 %","34.3 %","47.6 %","16.1 %","9.7 %","139","5.67","1087","2406","3493","40.6 %","31.6 %","27.8 %","23.9 %","47.5 %","28.6 %","3137"
"Reynaldo Lopez","White Sox",".260","0.70","19.8 %","33.0 %","47.1 %","14.4 %","9.5 %","71","3.39","1136","1948","3084","36.8 %","33.9 %","29.3 %","20.8 %","45.5 %","33.8 %","16400"
"Ian Kennedy","Royals",".298","0.68","26.3 %","29.9 %","43.8 %","9.4 %","12.5 %","50","3.76","716","1344","2060","38.2 %","30.9 %","30.9 %","16.7 %","43.8 %","39.5 %","6986"
"Jake Odorizzi","Twins",".290","0.58","22.8 %","28.4 %","48.8 %","12.9 %","8.9 %","80","4.38","1189","1888","3077","36.7 %","30.4 %","32.9 %","19.5 %","44.0 %","36.5 %","6397"
"Matthew Boyd","Tigers",".258","0.58","21.1 %","29.0 %","49.9 %","10.4 %","11.2 %","81","4.28","1051","1809","2860","43.0 %","31.8 %","25.2 %","19.3 %","43.2 %","37.5 %","15440"
"Justin Verlander","Astros",".272","0.57","19.5 %","29.1 %","51.4 %","14.6 %","11.1 %","101","4.25","1063","2364","3427","37.0 %","33.7 %","29.3 %","20.1 %","50.8 %","29.1 %","8700"
