"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Charlie Blackmon","Rockies",".371","1.10","22.3 %","40.7 %","37.0 %","6.9 %","19.6 %","16","7.7 %","1","25.0 %","43.5 %","31.7 %","24.9 %","17.1 %","43.9 %","39.0 %","7859"
"Chad Pinder","Athletics",".292","1.03","19.2 %","40.9 %","39.9 %","5.2 %","19.5 %","8","10.1 %","0","0.0 %","34.2 %","38.3 %","27.5 %","14.0 %","52.9 %","33.2 %","15191"
"Yonder Alonso","White Sox",".302","0.78","22.8 %","33.9 %","43.2 %","8.3 %","19.4 %","1","0.9 %","0","0.0 %","40.8 %","33.6 %","25.5 %","13.2 %","50.8 %","36.0 %","2530"
"Yasiel Puig","Reds",".274","1.35","16.1 %","48.3 %","35.6 %","15.3 %","19.4 %","16","8.2 %","0","0.0 %","46.5 %","30.5 %","23.0 %","18.3 %","48.8 %","32.9 %","14225"
"Josh Bell","Pirates",".278","1.64","17.7 %","51.1 %","31.2 %","11.8 %","19.1 %","14","6.3 %","0","0.0 %","41.5 %","29.6 %","28.9 %","20.6 %","46.8 %","32.6 %","13145"
"Jonathan Villar","Orioles",".330","2.62","20.8 %","57.4 %","21.9 %","13.8 %","19.0 %","15","9.9 %","3","33.3 %","39.1 %","36.5 %","24.5 %","27.0 %","39.8 %","33.2 %","10071"
"Aaron Altherr","Phillies",".328","1.15","19.3 %","43.1 %","37.5 %","11.9 %","18.8 %","11","9.5 %","0","0.0 %","37.6 %","32.3 %","30.1 %","20.1 %","43.5 %","36.4 %","11270"
"Howie Kendrick","Nationals",".378","2.85","21.9 %","57.8 %","20.3 %","2.1 %","18.8 %","9","6.6 %","2","100.0 %","31.4 %","38.9 %","29.7 %","17.2 %","51.5 %","31.4 %","4229"
"Hunter Renfroe","Padres",".275","0.83","16.7 %","37.9 %","45.4 %","15.1 %","18.7 %","11","9.5 %","0","0.0 %","50.0 %","31.1 %","19.0 %","23.5 %","41.8 %","34.6 %","15464"
"Jay Bruce","Mariners",".274","0.70","20.8 %","32.5 %","46.7 %","5.1 %","18.5 %","5","3.7 %","1","100.0 %","44.4 %","34.4 %","21.2 %","11.7 %","48.0 %","40.3 %","9892"
"Matt Adams","Nationals",".311","0.91","18.4 %","38.8 %","42.7 %","6.4 %","18.3 %","4","4.0 %","0","0.0 %","46.7 %","32.9 %","20.4 %","15.3 %","47.5 %","37.3 %","9393"
"Randal Grichuk","Blue Jays",".293","0.84","21.4 %","35.9 %","42.7 %","8.3 %","18.3 %","11","10.9 %","0","0.0 %","51.3 %","27.8 %","21.0 %","18.2 %","41.6 %","40.2 %","10243"
"Marwin Gonzalez","Twins",".343","1.21","19.9 %","43.9 %","36.2 %","13.4 %","18.1 %","8","5.2 %","4","40.0 %","41.8 %","33.5 %","24.7 %","18.6 %","48.8 %","32.7 %","5497"
"Jose Abreu","White Sox",".330","1.24","18.2 %","45.3 %","36.4 %","7.1 %","17.9 %","14","6.1 %","0","0.0 %","38.7 %","33.6 %","27.7 %","15.8 %","43.7 %","40.5 %","15676"
"Eugenio Suarez","Reds",".309","1.05","24.0 %","38.9 %","37.1 %","11.0 %","17.9 %","12","7.9 %","0","0.0 %","42.7 %","30.2 %","27.1 %","20.7 %","45.5 %","33.8 %","12552"
"Wil Myers","Padres",".297","0.88","19.6 %","37.5 %","42.9 %","15.5 %","17.9 %","16","10.9 %","2","100.0 %","42.4 %","36.8 %","20.8 %","19.5 %","39.1 %","41.4 %","10047"
"Mike Moustakas","Brewers",".263","0.76","19.5 %","34.8 %","45.7 %","16.0 %","17.8 %","7","4.3 %","1","100.0 %","43.7 %","33.0 %","23.3 %","21.2 %","46.9 %","31.9 %","4892"
"Yasmani Grandal","Brewers",".298","1.09","16.5 %","43.5 %","40.0 %","14.5 %","17.7 %","7","5.2 %","0","0.0 %","41.7 %","33.7 %","24.7 %","17.6 %","45.8 %","36.5 %","11368"
"Jonathan Schoop","Twins",".330","1.13","20.9 %","41.9 %","37.2 %","16.0 %","17.7 %","14","6.9 %","0","0.0 %","45.8 %","34.3 %","19.9 %","23.0 %","40.9 %","36.1 %","11265"
"Ryan Braun","Brewers",".292","1.54","18.9 %","49.2 %","31.9 %","9.2 %","17.3 %","10","6.6 %","1","100.0 %","38.6 %","35.1 %","26.3 %","19.2 %","41.9 %","39.0 %","3410"
"Kurt Suzuki","Nationals",".268","0.75","18.5 %","34.9 %","46.6 %","15.3 %","17.1 %","4","4.8 %","1","50.0 %","48.8 %","35.0 %","16.3 %","20.0 %","46.7 %","33.3 %","8259"
"Anthony Rizzo","Cubs",".273","1.04","20.1 %","40.7 %","39.2 %","10.1 %","16.9 %","4","2.0 %","2","50.0 %","44.9 %","33.3 %","21.8 %","19.8 %","45.9 %","34.4 %","3473"
"Brian Dozier","Nationals",".300","0.90","19.0 %","38.4 %","42.6 %","13.4 %","16.8 %","13","7.1 %","2","50.0 %","50.4 %","32.0 %","17.6 %","15.9 %","50.0 %","34.1 %","9810"
"Kevin Kiermaier","Rays",".337","1.54","18.2 %","49.6 %","32.1 %","12.2 %","16.7 %","14","10.1 %","1","16.7 %","39.2 %","38.5 %","22.4 %","22.0 %","46.2 %","31.8 %","11038"
"Brian Goodwin","Angels",".291","0.89","19.0 %","38.0 %","42.9 %","6.3 %","16.5 %","4","5.7 %","0","0.0 %","45.4 %","29.2 %","25.4 %","16.2 %","49.7 %","34.1 %","12858"
"Chris Herrmann","Athletics",".207","1.15","17.6 %","44.0 %","38.4 %","1.6 %","16.4 %","3","4.3 %","0","0.0 %","34.4 %","39.4 %","26.3 %","16.3 %","49.4 %","34.4 %","9284"
"Andrew McCutchen","Phillies",".305","1.09","21.9 %","40.7 %","37.4 %","8.2 %","16.4 %","13","7.0 %","0","0.0 %","42.7 %","36.8 %","20.6 %","17.5 %","47.3 %","35.2 %","9847"
"Leury Garcia","White Sox",".321","2.29","20.6 %","55.3 %","24.1 %","3.6 %","16.4 %","8","6.3 %","1","12.5 %","39.0 %","36.0 %","25.0 %","23.7 %","49.6 %","26.7 %","5913"
"Eddie Rosario","Twins",".312","1.13","20.2 %","42.4 %","37.4 %","7.3 %","16.4 %","10","5.3 %","2","28.6 %","39.3 %","36.8 %","23.9 %","16.7 %","51.6 %","31.7 %","12155"
"Nolan Arenado","Rockies",".320","0.76","21.1 %","34.0 %","44.9 %","9.3 %","16.3 %","13","7.6 %","0","0.0 %","37.7 %","35.1 %","27.2 %","17.6 %","45.8 %","36.7 %","9777"
"Curtis Granderson","Marlins",".228","0.67","18.6 %","32.6 %","48.8 %","13.8 %","16.3 %","8","7.5 %","0","0.0 %","48.6 %","34.0 %","17.3 %","17.6 %","47.1 %","35.3 %","4747"
"Trevor Story","Rockies",".332","0.70","18.4 %","33.7 %","47.9 %","10.1 %","16.2 %","14","13.5 %","2","50.0 %","38.3 %","37.4 %","24.3 %","14.4 %","45.4 %","40.3 %","12564"
"Corey Seager","Dodgers",".352","1.27","24.8 %","42.1 %","33.1 %","4.4 %","16.2 %","8","4.6 %","0","0.0 %","36.5 %","35.5 %","28.0 %","12.9 %","43.1 %","44.0 %","13624"
"Starlin Castro","Marlins",".347","1.85","20.1 %","51.8 %","28.0 %","12.1 %","16.2 %","22","12.0 %","0","0.0 %","42.8 %","33.4 %","23.8 %","21.8 %","49.0 %","29.2 %","4579"
"Matt Joyce","Braves",".263","0.88","19.3 %","37.8 %","42.8 %","5.8 %","16.1 %","3","2.2 %","1","100.0 %","41.6 %","37.5 %","20.9 %","16.3 %","53.4 %","30.3 %","3353"
"Todd Frazier","Mets",".226","0.72","18.4 %","34.2 %","47.5 %","18.5 %","16.1 %","7","5.8 %","0","0.0 %","48.6 %","29.7 %","21.8 %","23.2 %","44.6 %","32.2 %","785"
"Avisail Garcia","Rays",".392","1.90","20.3 %","52.2 %","27.5 %","5.4 %","16.1 %","26","12.2 %","0","0.0 %","42.7 %","33.6 %","23.8 %","15.7 %","49.0 %","35.3 %","5760"
"Rougned Odor","Rangers",".224","0.98","16.3 %","41.5 %","42.2 %","15.5 %","16.0 %","9","4.9 %","4","66.7 %","50.3 %","29.8 %","19.8 %","18.5 %","44.8 %","36.8 %","12282"
"Kris Bryant","Cubs",".334","0.89","19.9 %","37.7 %","42.4 %","5.5 %","16.0 %","19","11.8 %","0","0.0 %","41.2 %","36.3 %","22.5 %","14.8 %","52.5 %","32.8 %","15429"
"Mitch Haniger","Mariners",".338","1.20","19.3 %","44.0 %","36.7 %","7.9 %","15.8 %","9","7.4 %","1","50.0 %","45.1 %","33.6 %","21.3 %","17.7 %","47.7 %","34.7 %","14274"
"Chris Taylor","Dodgers",".361","1.16","22.6 %","41.5 %","35.8 %","4.5 %","15.8 %","20","13.0 %","1","50.0 %","38.3 %","33.5 %","28.2 %","15.8 %","51.7 %","32.4 %","13757"
"Austin Barnes","Dodgers",".329","1.55","25.7 %","45.1 %","29.1 %","7.8 %","15.7 %","3","3.8 %","0","0.0 %","33.1 %","41.7 %","25.1 %","21.1 %","48.0 %","30.9 %","12158"
"Adam Jones","Diamondbacks",".312","1.31","20.9 %","44.8 %","34.3 %","9.6 %","15.7 %","20","9.2 %","2","50.0 %","41.4 %","29.9 %","28.7 %","20.1 %","49.0 %","30.9 %","6368"
"Jedd Gyorko","Cardinals",".312","1.03","20.1 %","40.5 %","39.3 %","8.5 %","15.5 %","7","5.3 %","0","0.0 %","43.0 %","30.5 %","26.5 %","19.2 %","50.0 %","30.8 %","10816"
"Mitch Moreland","Red Sox",".278","1.20","20.4 %","43.4 %","36.2 %","4.9 %","15.5 %","5","2.9 %","1","100.0 %","37.2 %","36.1 %","26.7 %","13.5 %","47.6 %","38.9 %","3086"
"Joc Pederson","Dodgers",".241","1.35","18.9 %","46.6 %","34.5 %","11.3 %","15.5 %","3","3.1 %","0","0.0 %","48.5 %","30.1 %","21.4 %","19.4 %","47.6 %","33.0 %","11899"
"Christian Yelich","Brewers",".336","2.20","19.4 %","55.4 %","25.2 %","2.5 %","15.3 %","11","4.2 %","1","50.0 %","33.3 %","37.4 %","29.3 %","15.9 %","48.8 %","35.2 %","11477"
